Lat,Long,YY,LoAge,UpAge,Ex,Pf
14.139,-16.121,2013,0.6,4.9,46,0
14.3658,-16.1337,1962,0,15,272,189
14.1512,-16.0738,2008,2,4.9,29,1
14.1408,-16.08,2008,0.6,5,43,2
14.2401,-16.2731,2009,1.2,5,23,2
13.9168,-15.93,2009,0.5,5,26,0
13.9085,-16.0179,2008,0.5,5,20,1
13.9849,-16.1417,2008,0.5,5,16,1
13.9542,-16.1834,2008,0.5,5,27,2
14.024,-15.7867,2009,0.5,5,29,2
13.9854,-15.8909,2009,0.5,5,36,3
13.9049,-15.8383,2009,0.5,5,24,1
13.9613,-15.8292,2009,0.5,5,19,0
13.9833,-15.9833,1960,0,14,80,42
14.2617,-16.2522,2013,0.8,4.8,47,0
14.2279,-16.3024,2013,0.7,4.9,38,0
14.1063,-15.8698,2014,0.8,4.5,47,0
13.6907,-15.7774,2010,0.5,6,29,0
13.8403,-15.9517,2011,0.5,5.3,21,1
13.7876,-16.0146,2011,0.5,5.9,21,0
13.724,-15.5496,2011,0.8,5.8,27,0
13.6279,-15.6562,2011,0.7,5.8,17,0
13.7507,-15.7849,2011,0.6,6.4,15,0
13.7596,-15.973,2011,0.8,6,25,0
13.624,-15.9785,2010,1.1,5.9,15,0
13.8818,-16.0018,2011,0.6,5.8,21,1
13.784,-16.018,1967,0,14,38,24
13.833,-15.967,2014,0.6,4.8,61,0
13.7166,-15.5666,1960,0,14,19,4
13.834,-16.1,2014,0.5,4.9,62,0
13.602,-15.584,1967,0,15,1296,681
13.602,-15.584,2012,0.5,4.8,58,4
13.602,-15.584,2014,0.5,4.9,95,2
13.7,-16.0833,1960,0,14,28,12
13.8166,-15.5833,1960,0,14,68,45
13.75,-15.783,2014,0.6,4.3,25,0
13.785,-15.818,1968,0,15,1443,602
13.785,-15.818,2013,0.6,4.8,50,0
13.7,-15.834,2014,0.6,4.8,53,0
13.7182,-15.7736,2009,0.8,5,25,0
13.7821,-15.6028,2008,0.6,4.9,18,1
13.6055,-15.659,2008,1.4,5,21,0
13.6981,-15.4613,2008,0.6,5,25,0
13.8515,-15.8479,2009,0.5,5,40,2
13.7421,-15.6805,2009,0.5,5,16,2
13.6377,-16.0097,2008,0.8,5,17,0
13.8472,-16.0533,2008,0.9,4.9,18,1
13.7614,-15.9083,2012,0.5,4.8,50,2
13.753,-16.069,1967,0,15,1140,619
13.753,-16.069,2013,0.6,4.8,33,0
13.08,-14.35,2014,0.6,4.9,57,5
13.2743,-15.2345,2013,0.5,4.9,94,13
12.7,-14.4833,1950,0,9,72,6
12.7,-14.4833,2013,0.6,4.8,28,6
12.884,-14.484,1964,2,9,248,132
12.884,-14.484,1966,0,15,325,172
12.8923,-14.9305,2010,1,5.8,21,0
13.3191,-14.656,2011,0.6,5.8,32,2
12.7027,-14.4189,2010,1.1,5.2,23,1
13.5299,-15.1254,2011,0.8,5.9,26,0
12.8537,-14.2473,2011,1.2,5.8,20,8
13.027,-14.8622,2011,0.6,5.4,24,1
12.8995,-14.9429,2010,0.8,5.1,18,0
12.8888,-14.4541,2010,0.7,5.4,20,0
13.0316,-15.1084,2011,0.9,6,17,1
12.8012,-15.0653,2010,0.7,5.9,26,0
12.8,-14.3833,1960,0,14,54,27
12.7642,-14.6213,2013,0.5,4.8,45,25
12.818,-14.868,1963,0,15,677,269
12.818,-14.868,2014,0.5,4.9,29,11
13.058,-14.559,1950,0,14,209,11
12.8338,-15.0394,2012,1.1,4.8,17,8
13.298,-14.585,1969,0,15,1427,755
12.901,-14.947,1950,0,14,100,15
12.901,-14.947,2013,0.5,4.9,51,1
12.901,-14.947,2014,0.5,4.8,50,0
12.68,-14.9,2014,0.8,4.9,37,0
12.934,-14.217,2014,0.7,4.9,40,22
13.3249,-14.777,2013,0.6,4.8,39,1
13.29,-14.715,1966,2,9,248,72
13.29,-14.715,1968,0,15,562,196
13.167,-15.034,2014,0.5,4.6,41,0
13.3333,-14.7833,1960,0,14,48,30
13.2554,-14.464,2013,0.5,4.9,34,3
12.6833,-14.8666,1960,0,14,11,6
12.8994,-14.9388,2008,0.7,4.9,26,0
12.7441,-14.9069,2008,0.9,5,31,17
12.9202,-14.2033,2008,0.5,5,19,11
12.7971,-14.5373,2008,0.5,5,24,8
13.0797,-14.3569,2008,1,5,16,3
