"web_x","web_y"
-10218084.0308319,5487461.27331928
-10218686.9899443,5487788.44799081
-10219532.8357513,5488292.55164269
-10219582.9406634,5488323.3189335
-10219895.458536,5488470.64472128
-10220301.3985165,5488735.73430744
-10221246.613453,5489381.33180111
-10221314.5532569,5489428.08162399
-10222126.4617234,5490262.55926469
-10222675.9442476,5490830.16469893
-10223290.8180595,5491436.87160655
-10223807.2067916,5492273.33424437
-10224417.8569537,5493109.86598187
-10224469.6639403,5493178.54491288
-10225123.6016269,5493797.83736204
-10225539.7433186,5494176.18141598
-10225620.4235474,5494250.78620483
-10225904.9176677,5494395.24973959
-10226046.7388717,5494466.29717112
-10226434.8401245,5494663.45968269
-10226566.4730723,5494753.46046704
-10227143.1082107,5495092.15070329
-10227491.3172007,5495511.41910369
-10227566.0551494,5495601.43515845
-10227909.1690673,5496014.2125481
-10227954.1820654,5496084.09703634
-10228185.1971772,5496442.41613422
-10228468.0287807,5496970.74390661
-10228541.9253069,5497144.29402352
-10228618.3687293,5497320.21839478
-10229080.4024079,5498085.54302238
-10229425.229869,5498658.39329553
-10229840.5460225,5499301.77943339
-10230042.7149997,5499942.86066173
-10230173.5503183,5500582.80988962
-10230165.954492,5501077.0318261
-10230184.678615,5501530.38805685
-10229948.6630026,5502172.25896973
-10229713.4791237,5502627.47103446
-10229543.6781814,5503032.9088152
-10229519.9428533,5503477.47468118
-10229515.704009,5503556.90595154
-10229689.8352133,5504044.75096396
-10229967.5553285,5504403.37617992
-10230314.0735834,5504905.47974868
-10230687.783886,5505586.07080856
-10230899.2766698,5506046.15293255
-10230771.9510351,5506616.58268091
-10230849.2536791,5506898.23936285
-10230912.1346509,5507324.00713862
-10231191.5466082,5507611.59728684
-10231514.2650718,5507872.5053296
-10232103.6429436,5508264.46296139
-10233031.0163797,5508827.22106415
-10233683.2421845,5509305.81278481
-10233908.3250129,5509797.52090085
-10233921.1094756,5510293.42603956
-10234005.2260944,5510786.38725302
-10233941.5639266,5511072.33823939
-10233758.169775,5511411.70564506
-10233462.6797396,5511727.36392898
-10233410.0352078,5511783.1390439
-10233171.4381949,5512066.1717571
-10233118.7942261,5512139.74858482
-10232816.5049067,5512388.38481704
-10232779.1803838,5512809.67075953
-10232801.3127635,5513381.10315702
-10232940.6196249,5513795.89064565
-10232966.1022934,5513870.66098168
-10233210.7188272,5514381.00987358
-10233554.7290483,5515305.06159637
-10233588.7038894,5515375.09481467
-10234034.6053332,5516167.45877781
-10234402.3429078,5516551.48393926
